地域,コード,人数,消費単価
韓国,KOR,3529,98385.2324
台湾,TWN,2898,154042.4972
香港,HKG,2835,230987.6834
中国,CHN,4326,256701.8395
タイ,THA,1374,174018.8578
シンガポール,SGP,677,280167.2053
マレーシア,MYS,1452,182498.6922
インドネシア,IDN,890,190815.9443
フィリピン,PHL,981,156029.005
ベトナム,VNM,1426,187013.9071
インド,IND,1000,219079.5975
英国,GBR,771,320651.5608
ドイツ,DEU,1201,304962.1869
フランス,FRA,582,324460.5854
イタリア,ITA,348,264157.2943
スペイン,ESP,297,294626.7579
ロシア,RUS,150,307111.9789
米国,USA,5341,305574.8122
カナダ,CAN,925,289223.0567
オーストラリア,AUS,1099,319949.4033
その他,,1389,328357.8864
